"","language","longitude","latitude","match_score_span","match_score_eng","match_score_jap","mean_match_score_ctrl","sd_match_score_ctrl","zscore_span","zscore_eng","zscore_jap"
"1","Agutaynen",119.655,10.5328,0.551020408163265,0.7,0.54,0.628,0.0544058820349418,-2.31385866484709,2.16418169925252,-2.64511096575309
"2","Arta",121.656,16.4185,0.469387755102041,0.54,0.58,0.582666666666667,0.0413118223595458,-3.40494649054734,-1.2824780440015,-0.0801548777500947
"3","Ata Manobo",125.499,7.7789,0.448979591836735,0.64,0.56,0.616,0.0610386294547501,-5.02031264928647,0.721393899750843,-1.68325243275196
"4","Balangingi",121.686646,6.011614,0.469387755102041,0.66,0.58,0.657333333333333,0.0522995037762128,-5.64928306754996,0.0801548777500947,-2.32449145475271
"5","Bonggi",117.174,7.29249,0.510204081632653,0.7,0.7,0.713333333333333,0.0499523582550223,-6.105675126576,-0.40077438875047,-0.40077438875047
"6","Botolan Sambal",120.164,15.2315,0.36734693877551,0.6,0.68,0.72,0.0489897948556636,-10.600073628992,-3.60696949875421,-1.2023231662514
"7","Central Cagayan Agta",121.857,17.9571,0.469387755102041,0.62,0.66,0.633333333333333,0.0788005317845242,-4.92788916779912,-0.400774388750467,0.801548777500937
"8","Coastal-Naga Bikol",123.403,13.7574,0.469387755102041,0.56,0.64,0.653333333333333,0.0617213399848368,-5.52905075092482,-2.80542072125327,-0.400774388750467
"9","Central Bontoc",120.92,17.08,0.591836734693878,0.7,0.54,0.670666666666667,0.0419977323650876,-2.36947633512266,0.881703655251029,-3.92758900975458
"10","Filipino",123.464,12.265,0.530612244897959,0.62,0.62,0.633333333333333,0.0695564176628961,-3.08759860721023,-0.400774388750467,-0.400774388750467
"11","Ibaloi",120.695,16.4263,0.489795918367347,0.64,0.6,0.672,0.0360951124510943,-5.47670470831252,-0.961858533001123,-2.16418169925253
"12","Ibanag",121.891,17.4201,0.551020408163265,0.7,0.5,0.625333333333333,0.0611633254569467,-2.233703787097,2.24433657700262,-3.7672792542544
"13","Ibatan",121.909,18.9398,0.510204081632653,0.62,0.66,0.641333333333333,0.0520805237337428,-3.94149342732348,-0.641239022000748,0.561084144250656
"14","Ilongot",121.547,16.3785,0.653061224489796,0.68,0.56,0.613333333333333,0.0375436254179562,1.19414409709323,2.00387194375234,-1.60309755500187
"15","Isinai",121.12,16.3299,0.448979591836735,0.64,0.6,0.648,0.0636059296427172,-5.98217118228759,-0.240464633250281,-1.44278779950169
"16","Isnag",121.16,18.2139,0.408163265306122,0.56,0.6,0.629333333333333,0.0906694677438463,-6.64794741176286,-2.08402682150243,-0.881703655251029
"17","Kagayanen",119.872,10.4656,0.448979591836735,0.64,0.64,0.669333333333333,0.0732380333147302,-6.62341020428834,-0.881703655251029,-0.881703655251029
"18","Karao",120.956,16.5655,0.36734693877551,0.56,0.64,0.656,0.0600951626291882,-8.67635656298972,-2.88557559900337,-0.480929266500562
"19","Keley-i Kallahan",121.035,16.7099,0.551020408163265,0.7,0.58,0.630666666666667,0.0452716667411728,-2.39401354259718,2.08402682150243,-1.52294267725178
"20","Kinaray-a",122.297,10.8131,0.571428571428571,0.64,0.64,0.624,0.0571714214321406,-1.58019616135899,0.480929266500562,0.480929266500562
"21","Maguindanao",124.509,6.9453,0.591836734693878,0.66,0.58,0.628,0.052263070818969,-1.08699829112117,0.961858533001123,-1.44278779950169
"22","Masbatenyo",123.63579,12.21453,0.510204081632653,0.66,0.54,0.625333333333333,0.052626265395939,-3.46056416082291,1.04201341075122,-2.56495608800299
"23","Northern Subanen",123.588,8.5232,0.428571428571429,0.66,0.62,0.686666666666667,0.0382970843102535,-7.75784709652691,-0.801548777500934,-2.00387194375234
"24","Pangasinan",120.365,15.9377,0.469387755102041,0.64,0.6,0.672,0.0559591687878633,-6.09013489517548,-0.961858533001123,-2.16418169925253
"25","Pangutaran Sama",120.536,6.27167,0.387755102040816,0.62,0.62,0.662666666666667,0.0894001171832619,-8.26331357050199,-1.2824780440015,-1.2824780440015
"26","Rungus",116.743,6.83989,0.428571428571429,0.7,0.58,0.662666666666667,0.0696385224536234,-7.03645319677607,1.12216828850131,-2.4848012102529
"27","Sabah Malay",117.024,4.64808,0.448979591836735,0.76,0.68,0.728,0.0736012422255417,-8.3868175147904,0.961858533001123,-1.44278779950168
"28","Southern Sama",119.483887,4.755836,0.36734693877551,0.68,0.64,0.674666666666667,0.0886297810853558,-9.23744070724037,0.160309755500189,-1.04201341075121
