"","Aklanon","Coastal-Naga Bikol","Cebuano","Mandarin Chinese","Dupaninan Agta","Estonian","English","Basque","Filipino","Finnish","Gagauz","Hiligaynon","Hungarian","Iloko","Japanese","Halh Mongolian","Korean","Liv","Moksha","Maranao","Pangasinan","Pampanga","Sedang","South Saami","Central Sama","Spanish","Southern Sama","Tagalog","Tiruray","Turkish","Udihe"
"Aklanon",0.999999999874203,0.245213949229555,0.220442529327526,0.00731897900400276,0.274301927420294,0.0365949291670033,0.0430339833296347,0.017378666595911,0.184263124513129,0.0601101631879441,0.04338457826667,0.46460773984862,0.0237063257538885,0.155730479103029,0.0371853679691137,0.0104773413985306,0.0145396523421979,0.0354548913114011,0.00919923101603398,0.30006375289234,0.440222976268064,0.24455945979409,0.0196634374602536,0.0159659596085153,0.068484788016783,0.157108415373088,0.35617040043381,0.153854785264599,0.334281317453329,0.199992886093327,0.0165575743182405
"Coastal-Naga Bikol",0.245213949229555,0.999999999964907,0.104362469011787,0.011301187974277,0.15450796024132,0.0502901557066836,0.0605472294278405,0.210787506840516,0.129724678360497,0.112812869641322,0.0731675693710488,0.398751966068666,0.0667821219474303,0.111646727107463,0.0129294003232089,0.016385410212241,0.00900704651805869,0.197036437998725,0.0237924048379968,0.141760787407887,0.268118422299655,0.593377522256103,0.0234533035836244,0.0252231957533195,0.0461616705705877,0.230315139904109,0.237823358491623,0.0933756666370261,0.161894840069271,0.288451242125513,0.0867236163879913
"Cebuano",0.220442529327526,0.104362469011787,0.999999999962351,0.00368104145804552,0.117167306595589,0.052087686161943,0.153918756918577,0.0682995160464674,0.334084988845624,0.176060357836308,0.0518331836410654,0.202394301732758,0.0916618961077248,0.252944617135298,0.14358977577837,0.0818507878962595,0.0278840090848431,0.0191945351420008,0.0536210641803348,0.12203516192588,0.176428087672266,0.0978805701626942,0.0105615168632651,0.0085092068209806,0.052981339534145,0.0501755614194716,0.147836584509774,0.543062111532798,0.145391537495718,0.270114843275818,0.0607192834516469
"Mandarin Chinese",0.00731897900400276,0.011301187974277,0.00368104145804552,0.999999999996858,0.00418214737403117,0.043339378211957,0.0172695694921215,0.298009246960218,0.0115678080493603,0.0669188822661732,0.0231256334510756,0.0196449292832512,0.0765089490328006,0.00236198597332165,0.000557687702163832,0.159735731508827,0.0445968965831174,0.00275293820816754,0.0801592034601907,0.00476706029257991,0.00835843243385415,0.00451842659076932,0.0845316273139527,0.0847525018846256,0.00122630552797201,0.00433128165180371,0.00610139007080944,0.00956409809293389,0.00453919177292083,0.0404485332092684,0.024129281201639
"Dupaninan Agta",0.274301927420294,0.15450796024132,0.117167306595589,0.00418214737403117,0.999999999955767,0.0201778694457327,0.0507058209463794,0.0100782018809259,0.10491553305041,0.0585377767796399,0.165277855544266,0.268582202108671,0.0268056092751047,0.594188477504686,0.0361712058518045,0.00607178044806345,0.00752386706988374,0.0328223755702228,0.142941797732997,0.158397110234087,0.280721849389761,0.201959697903281,0.0178513938527023,0.00662721066359203,0.0686591339106452,0.0143477692304842,0.350757685527021,0.0787391472831146,0.229076709103038,0.0600157636328589,0.155999778448922
"Estonian",0.0365949291670033,0.0502901557066836,0.052087686161943,0.043339378211957,0.0201778694457327,0.999999999993183,0.036358649491305,0.0127214372662362,0.063372721504246,0.338314763677947,0.248649371920042,0.0652540084884714,0.199161307581571,0.0538166060163129,0.110348408493941,0.00490219916788241,0.175458609091581,0.0928730351833742,0.297150928473492,0.0133189568045031,0.0254325414135508,0.00977875520347002,0.0056653308906763,0.00729195109180087,0.015262151795805,0.10524713952051,0.0266714061285077,0.0463625155590262,0.0238436407758733,0.0340105250544567,0.0705675269184504
"English",0.0430339833296347,0.0605472294278405,0.153918756918577,0.0172695694921215,0.0507058209463794,0.036358649491305,0.999999999998371,0.0231898643091405,0.0644218731342851,0.0680322481098364,0.0393970979040837,0.107363569415423,0.0939352616493303,0.0394613875427884,0.00842639218875427,0.0360691792074631,0.0334602372546641,0.0450224470753558,0.0181206235864319,0.0232475684663605,0.0790275880097817,0.050733129667247,0.014287495633602,0.00877401439481122,0.0155419294985659,0.0850271233076602,0.0590681251748584,0.0761741272497374,0.0375753310155729,0.0752581648616424,0.0961420709365995
"Basque",0.017378666595911,0.210787506840516,0.0682995160464674,0.298009246960218,0.0100782018809259,0.0127214372662362,0.0231898643091405,0.999999999993504,0.0217051116982105,0.167394465144778,0.0469089312504943,0.0577485070476408,0.0227782987902121,0.0311823310839967,0.00518101286478156,0.210367797717034,0.00393329346240387,0.114982408326227,0.110730292796775,0.130582195885398,0.0487139288108056,0.222442285618845,0.127287420298205,0.264417730712863,0.00655296288931378,0.185197170712819,0.139075052824894,0.235497689811831,0.0110829107474935,0.268446357007205,0.0305264030416247
"Filipino",0.184263124513129,0.129724678360497,0.334084988845624,0.0115678080493603,0.10491553305041,0.063372721504246,0.0644218731342851,0.0217051116982105,0.999999999958127,0.28458370472036,0.0438259207443402,0.247627411575123,0.282391739986659,0.341888518707444,0.260376653722456,0.00604482083488974,0.0649836627164485,0.0247092806111209,0.105640553434773,0.238773313869862,0.221802527631268,0.207538569474544,0.0146058891233647,0.0148759864566551,0.0611182943012056,0.110872751385616,0.1819988585659,0.494506384559953,0.121283261420536,0.200357097050695,0.123697727848236
"Finnish",0.0601101631879441,0.112812869641322,0.176060357836308,0.0669188822661732,0.0585377767796399,0.338314763677947,0.0680322481098364,0.167394465144778,0.28458370472036,0.999999999984227,0.108698659095217,0.162388380912195,0.357562713371359,0.347406114938548,0.144745623259553,0.0994620629550454,0.219535158914435,0.106276395412874,0.103325065882261,0.0380948751672134,0.0641882235329447,0.0629218720075802,0.0726725365476174,0.0838610172598065,0.0269562315909523,0.143742080485338,0.0591856323769119,0.233524954162332,0.0678758598630071,0.152535717347713,0.151032474075693
