"","language","cossim_span","cossim_jap","cossim_eng","cossim_unr","latitude","longitude"
"1","Tiruray",0.015830126114853,0.0751719756734836,0.0375753310155729,0.0388822491557416,6.77321,124.127
"2","Maranao",0.140194655667797,0.0865259569479175,0.0232475684663605,0.05938009751137,7.79414,124.175
"3","Central Sama",0.0162917266025146,0.0191680918899584,0.0155419294985659,0.0116319346434359,7.004574,118.455978
"4","Hiligaynon",0.0719457915816576,0.0341409010671601,0.107363569415423,0.0764621787047253,10.4018,122.974
"5","Aklanon",0.157108415373088,0.0371853679691137,0.0430339833296347,0.0364531868231371,11.55432,122.35413
"6","Filipino",0.110872751385616,0.260376653722456,0.0644218731342851,0.0901687160556685,12.265,123.464
"7","Coastal-Naga Bikol",0.230315139904109,0.0129294003232089,0.0605472294278405,0.0853724334927677,13.7574,123.403
"8","Tagalog",0.287570153562617,0.218734614698871,0.0761741272497374,0.123200660717301,14.06,121.747
"9","Pampanga",0.251426956211505,0.0888638483401531,0.050733129667247,0.0732494715400249,14.9603,120.502
"10","Pangasinan",0.0380826401083463,0.0279560747289861,0.0790275880097817,0.0486972300375568,15.9377,120.365
"11","Iloko",0.179446236005878,0.295599530811277,0.0394613875427884,0.108357922031136,15.9361,120.993
"12","Dupaninan Agta",0.0143477692304842,0.0361712058518045,0.0507058209463794,0.0510652448370673,17.3748,122.188
"13","Cebuano",0.0501755614194716,0.14358977577837,0.153918756918577,0.0697199234261931,8.38799,124.367
"14","Southern Sama",0.0243111687838622,0.0309991919341151,0.0590681251748584,0.049658490775808,4.755836,119.483887
