"language","cossim_span","latitude","longitude"
"Central Sama",0.140194655667797,7.004574,118.455978
"Southern Sama",0.015830126114853,4.755836,119.483887
"Pangasinan",0.251426956211505,15.9377,120.365
"Pampanga",0.230315139904109,14.9603,120.502
"Iloko",0.0162917266025146,15.9361,120.993
"Tagalog",0.0143477692304842,14.06,121.747
"Dupaninan Agta",0.287570153562617,17.3748,122.188
"Aklanon",0.0380826401083463,11.55432,122.35413
"Hiligaynon",0.0243111687838622,10.4018,122.974
"Coastal-Naga Bikol",0.179446236005878,13.7574,123.403
"Filipino",0.110872751385616,12.265,123.464
"Tiruray",0.0719457915816576,6.77321,124.127
"Maranao",0.0501755614194716,7.79414,124.175
"Cebuano",0.157108415373088,8.38799,124.367
