ID,CONCEPT,DOCULECT,FORM,TOKENS
1,I,AGTA,ijok,i j o k
93,I,AKLANON,aku,a k u
185,I,ARTA,tan,t a n
277,I,ATTA PAMPLONA,sikan,s i k a n
369,I,BAJAU WEST COAST,aku,a k u
461,I,BALANGAW,haʔon,h a ʔ o n
553,I,BALANGINGI SAMA,aku,a k u
645,I,BANTON BANTOANON,ako,a k o
737,I,BASQUE,nik,n i k
829,I,BATAK PALAWAN,aku,a k u
921,I,BILAAN KORONADAL,agu,a g u
1013,I,BILAAN SARANGANI,agu,a g u
1105,I,BONGGI,ou,o u
1197,I,BONTOC GUINAANG,sakʔən,s a k ʔ ə n
1289,I,BUHI,ʔaku,ʔ a k u
1381,I,BUKIDNON BINUKID,janʔa,j a n ʔ a
1473,I,BUTUANON,ako,a k o
1565,I,CAIJIA,ŋuo,ŋ u o
1657,I,CEBUANO,ako,a k o
1749,I,CENTRAL TAGBANWA,ako,a k o
1841,I,CUYONON,ako,a k o
1933,I,DARAGA,ʔaku,ʔ a k u
2025,I,DUMAGAT CASIGURAN,sakən,s a k ə n
2117,I,DUPANINGAN AGTA,hikan,h i k a n
2209,I,ENGLISH,Ei,i
2301,I,ESKAYAN,narin,n a r i n
2393,I,ESTONIAN,mina,m i n a
2485,I,FINNISH,minE,m i n
2577,I,FUZHOU CHINESE,ŋuai,ŋ u a i
2669,I,GADDANG,ikkanak,i kk a n a k
2761,I,HANUNOO,aku,a k u
2853,I,HIGAONON BINUKID,janʔa,j a n ʔ a
2945,I,HUNGARIAN,en,e n
3037,I,IBANAG,soʔ,s o ʔ
3129,I,IDAAN,aku,a k u
3221,I,IFUGAO AMGANAD,haʔʔon,h a o n
3313,I,IFUGAO BATAD,haʔʔin,h a i n
3405,I,IFUGAO BAYNINAN,haʔʔen,h a e n
3497,I,ILOKANO,siak,s i a k
3589,I,ILONGOT KAKIDUGEN,siʔak,s i ʔ a k
3681,I,INIBALOI,siʔkak,s i ʔ k a k
3773,I,IRANUN,aku,a k u
3865,I,IRIGA,ʔaku,ʔ a k u
3957,I,ISNAG,ijaʔ,i j a ʔ
4049,I,ITAWIT,jEkEn,j k n
4141,I,ITNEG BINONGAN,dijakən,d i j a k ə n
4233,I,JAPANESE,wataSi,w a t a i
4325,I,KADAZAN,zou,z o u
4417,I,KAGAYANEN,a,a
4509,I,KALAGAN,aku,a k u
4601,I,KALINGA GUINAANG,saʔon,s a ʔ o n
4693,I,KALINGA LIMOS,sakon,s a k o n
4785,I,KALLAHAN KAYAPA PROPER,hiʔgak,h i ʔ g a k
4877,I,KANKANAY NORTHERN,sakʔin,s a k ʔ i n
4969,I,KAPAMPANGAN,aku,a k u
5061,I,KINARAY A,ako,a k o
5153,I,KOREAN,na,n a
5245,I,LEGAZPI,ʔaku,ʔ a k u
5337,I,LIBON,ʔaku,ʔ a k u
5429,I,LIVE,minama,m i n a m a
5521,I,MAMANWA,haʔo,h a ʔ o
5613,I,MANIDE,haku,h a k u
5705,I,MANOBO ATA,sikanak,s i k a n a k
5797,I,MANOBO DIBABAWON,siʔak,s i ʔ a k
5889,I,MANOBO ILIANEN,siʔakən,s i ʔ a k ə n
5981,I,MANOBO KALAMANSIG COTABATO,akən,a k ə n
6073,I,MANOBO SARANGANI,siʔak,s i ʔ a k
6165,I,MANOBO TIGWA,siʔak,s i ʔ a k
6257,I,MANOBO WESTERN BUKIDNON,siʔak,s i ʔ a k
6349,I,MANSAKA,aku,a k u
6441,I,MAPUN,aku,a k u
6533,I,MARANAO,ako,a k o
6625,I,MASBATENYO,ako,a k o
6717,I,MINANGALI LOWER TANUDAN KALINGA,sakon,s a k o n
6809,I,MOKSHA,mon,m o n
6901,I,MOLBOG,aku,a k u
6993,I,MONGOLIAN,pji,p j i
7085,I,MORO MAGINDANAU,aku,a k u
7177,I,NORTHERN CATANDUANES,ʔaku,ʔ a k u
7269,I,NORTHERN SORSOGON,ʔaku,ʔ a k u
7361,I,OAS,ʔaku,ʔ a k u
7453,I,PALAWANO BATAK,aku,a k u
7545,I,PANGASINAN,siak,s i a k
7637,I,PANGUTARAN SAMA,aku,a k u
7729,I,PROTO PALAWAN,ʔaku,ʔ a k u
7821,I,QUEZON PALAWAN,aku,a k u
7913,I,ROMBLOMANON 2,ʔaku,ʔ a k u
8005,I,SAMAL,aku,a k u
8097,I,SAMBAL BOTOLAN,hiko,h i k o
8189,I,SANGIL SARANGANI ISLANDS,iaʔ,i a ʔ
8281,I,SEDANG,a,a
8373,I,SIBUTU SOUTHERN SAMA,aku,a k u
8465,I,SOGODNIN BORACAY,ak,a k
8557,I,SOUTH SAAMI,manə,m a n ə
8649,I,SOUTHERN CATANDUANES,ʔaku,ʔ a k u
8741,I,SOUTHERN SORSOGON,ʔaku,ʔ a k u
8833,I,SOUTHWEST PALAWANO,ako,a k o
8925,I,SPANISH,jo,j o
9017,I,SUBANON SIOCON,akon,a k o n
9109,I,SUBANUN SINDANGAN,inan,i n a n
9201,I,SURIGAONON,ako,a k o
9293,I,TAGABAWA,a,a
9385,I,TAGABILI,oʔuh,o ʔ u h
9477,I,TAGALOG,ako,a k o
9569,I,TAGBANWA ABORLAN,aku,a k u
9661,I,TAGBANWA KALAMIAN,juu,j uu
9753,I,TAUSUG,akuh,a k u h
9845,I,TIMUGON MURUT,aku,a k u
9937,I,TIRURAY,begen,b e g e n
10029,I,TURKISH,ben,b e n
10121,I,UGARITIC,an,a n
10213,I,UMIRAY DUMAGET AGTA,ako,a k o
10305,I,WARAY WARAY,ako,a k o
10397,I,YAKAN,aku,a k u
10489,I,YOGAD,ku,k u
10581,I,ZAMBOANGUENO,jo,j o
10673,I,IMOROD,,
10765,I,BABUYAN,,
10857,I,BISAYA SABAH,,
10949,I,CAPIZNON,,
11041,I,FINALLIG,,
11133,I,HILIGAYNON,,
11225,I,INABAKNON,,
11317,I,KALAGAN KAAGAN,,
11409,I,KANKANAEY,,
11501,I,MANDAYAN BOSO,,
11593,I,MANDAYAN ISLAM PISO,,
11685,I,SINAUNA,,
11777,I,SOUTHERN KALINGA,,
2,all,AGTA,,
94,all,AKLANON,,
186,all,ARTA,,
278,all,ATTA PAMPLONA,,
370,all,BAJAU WEST COAST,,
462,all,BALANGAW,,
554,all,BALANGINGI SAMA,,
646,all,BANTON BANTOANON,,
738,all,BASQUE,guztiz,g u z t i z
830,all,BATAK PALAWAN,,
922,all,BILAAN KORONADAL,,
1014,all,BILAAN SARANGANI,,
1106,all,BONGGI,,
1198,all,BONTOC GUINAANG,,
1290,all,BUHI,,
1382,all,BUKIDNON BINUKID,alan,a l a n
1474,all,BUTUANON,,
1566,all,CAIJIA,,
1658,all,CEBUANO,,
1750,all,CENTRAL TAGBANWA,,
1842,all,CUYONON,,
1934,all,DARAGA,,
2026,all,DUMAGAT CASIGURAN,,
2118,all,DUPANINGAN AGTA,,
2210,all,ENGLISH,ol,o l
2302,all,ESKAYAN,,
2394,all,ESTONIAN,koik,k o i k
2486,all,FINNISH,kaikki,k a i kk i
2578,all,FUZHOU CHINESE,,
2670,all,GADDANG,,
2762,all,HANUNOO,tanan,t a n a n
2854,all,HIGAONON BINUKID,alan,a l a n
2946,all,HUNGARIAN,mind,m i n d
3038,all,IBANAG,,
3130,all,IDAAN,,
3222,all,IFUGAO AMGANAD,,
3314,all,IFUGAO BATAD,,
3406,all,IFUGAO BAYNINAN,,
3498,all,ILOKANO,,
3590,all,ILONGOT KAKIDUGEN,,
3682,all,INIBALOI,,
3774,all,IRANUN,,
3866,all,IRIGA,,
3958,all,ISNAG,,
4050,all,ITAWIT,,
4142,all,ITNEG BINONGAN,,
4234,all,JAPANESE,subete,s u b e t e
4326,all,KADAZAN,,
4418,all,KAGAYANEN,,
4510,all,KALAGAN,,
4602,all,KALINGA GUINAANG,,
4694,all,KALINGA LIMOS,,
4786,all,KALLAHAN KAYAPA PROPER,,
4878,all,KANKANAY NORTHERN,,
4970,all,KAPAMPANGAN,laganus,l a g a n u s
5062,all,KINARAY A,,
5154,all,KOREAN,modun,m o d u n
5246,all,LEGAZPI,,
5338,all,LIBON,,
5430,all,LIVE,,
5522,all,MAMANWA,,
5614,all,MANIDE,,
5706,all,MANOBO ATA,,
5798,all,MANOBO DIBABAWON,,
5890,all,MANOBO ILIANEN,,
5982,all,MANOBO KALAMANSIG COTABATO,,
6074,all,MANOBO SARANGANI,,
6166,all,MANOBO TIGWA,,
6258,all,MANOBO WESTERN BUKIDNON,,
6350,all,MANSAKA,,
6442,all,MAPUN,,
6534,all,MARANAO,,
6626,all,MASBATENYO,,
6718,all,MINANGALI LOWER TANUDAN KALINGA,,
6810,all,MOKSHA,sjembje,s j e m b j e
6902,all,MOLBOG,,
6994,all,MONGOLIAN,,
7086,all,MORO MAGINDANAU,,
7178,all,NORTHERN CATANDUANES,,
7270,all,NORTHERN SORSOGON,,
7362,all,OAS,,
7454,all,PALAWANO BATAK,,
7546,all,PANGASINAN,,
7638,all,PANGUTARAN SAMA,,
7730,all,PROTO PALAWAN,,
7822,all,QUEZON PALAWAN,,
7914,all,ROMBLOMANON 2,,
8006,all,SAMAL,,
8098,all,SAMBAL BOTOLAN,,
8190,all,SANGIL SARANGANI ISLANDS,,
8282,all,SEDANG,tai taŋ,t a i # t a ŋ
8374,all,SIBUTU SOUTHERN SAMA,,
8466,all,SOGODNIN BORACAY,,
8558,all,SOUTH SAAMI,,
8650,all,SOUTHERN CATANDUANES,,
8742,all,SOUTHERN SORSOGON,,
8834,all,SOUTHWEST PALAWANO,,
8926,all,SPANISH,todos,t o d o s
9018,all,SUBANON SIOCON,,
9110,all,SUBANUN SINDANGAN,,
9202,all,SURIGAONON,,
9294,all,TAGABAWA,,
9386,all,TAGABILI,,
9478,all,TAGALOG,lahat,l a h a t
9570,all,TAGBANWA ABORLAN,,
9662,all,TAGBANWA KALAMIAN,,
9754,all,TAUSUG,,
9846,all,TIMUGON MURUT,,
9938,all,TIRURAY,,
10030,all,TURKISH,bitin,b i t i n
10122,all,UGARITIC,,
10214,all,UMIRAY DUMAGET AGTA,,
10306,all,WARAY WARAY,,
10398,all,YAKAN,,
10490,all,YOGAD,,
10582,all,ZAMBOANGUENO,,
10674,all,IMOROD,akano,a k a n o
10766,all,BABUYAN,,
10858,all,BISAYA SABAH,,
10950,all,CAPIZNON,,
11042,all,FINALLIG,,
11134,all,HILIGAYNON,,
11226,all,INABAKNON,,
11318,all,KALAGAN KAAGAN,,
11410,all,KANKANAEY,,
11502,all,MANDAYAN BOSO,,
11594,all,MANDAYAN ISLAM PISO,,
11686,all,SINAUNA,,
11778,all,SOUTHERN KALINGA,,
3,ash,AGTA,,
95,ash,AKLANON,,
187,ash,ARTA,,
279,ash,ATTA PAMPLONA,,
371,ash,BAJAU WEST COAST,,
463,ash,BALANGAW,,
555,ash,BALANGINGI SAMA,,
647,ash,BANTON BANTOANON,,
739,ash,BASQUE,hauc,h a u c
831,ash,BATAK PALAWAN,,
923,ash,BILAAN KORONADAL,,
1015,ash,BILAAN SARANGANI,,
1107,ash,BONGGI,,
1199,ash,BONTOC GUINAANG,,
1291,ash,BUHI,,
1383,ash,BUKIDNON BINUKID,abu,a b u
1475,ash,BUTUANON,,
1567,ash,CAIJIA,,
1659,ash,CEBUANO,,
1751,ash,CENTRAL TAGBANWA,,
1843,ash,CUYONON,,
1935,ash,DARAGA,,
2027,ash,DUMAGAT CASIGURAN,,
2119,ash,DUPANINGAN AGTA,,
2211,ash,ENGLISH,ES,
2303,ash,ESKAYAN,,
2395,ash,ESTONIAN,tuk,t u k
2487,ash,FINNISH,tuhka,t u h k a
2579,ash,FUZHOU CHINESE,,
2671,ash,GADDANG,,
2763,ash,HANUNOO,ajum,a j u m
2855,ash,HIGAONON BINUKID,abu,a b u
2947,ash,HUNGARIAN,hamu,h a m u
3039,ash,IBANAG,,
3131,ash,IDAAN,,
3223,ash,IFUGAO AMGANAD,,
3315,ash,IFUGAO BATAD,,
3407,ash,IFUGAO BAYNINAN,,
3499,ash,ILOKANO,,
3591,ash,ILONGOT KAKIDUGEN,,
3683,ash,INIBALOI,,
3775,ash,IRANUN,,
3867,ash,IRIGA,,
3959,ash,ISNAG,,
4051,ash,ITAWIT,,
4143,ash,ITNEG BINONGAN,,
4235,ash,JAPANESE,hai,h a i
4327,ash,KADAZAN,,
4419,ash,KAGAYANEN,,
4511,ash,KALAGAN,,
4603,ash,KALINGA GUINAANG,,
4695,ash,KALINGA LIMOS,,
4787,ash,KALLAHAN KAYAPA PROPER,,
4879,ash,KANKANAY NORTHERN,,
4971,ash,KAPAMPANGAN,abu,a b u
5063,ash,KINARAY A,,
5155,ash,KOREAN,CE,
5247,ash,LEGAZPI,,
5339,ash,LIBON,,
5431,ash,LIVE,,
5523,ash,MAMANWA,,
5615,ash,MANIDE,,
5707,ash,MANOBO ATA,,
5799,ash,MANOBO DIBABAWON,,
5891,ash,MANOBO ILIANEN,,
5983,ash,MANOBO KALAMANSIG COTABATO,,
