x_start,y_start,x_end,y_end
119.655,10.5328,119.872,10.4656
119.655,10.5328,122.297,10.8131
121.656,16.4185,121.547,16.3785
121.656,16.4185,121.718,16.7015
125.499,7.7789,125.175,6.9712
121.686646,6.011614,122.021729,6.531023
121.686646,6.011614,120.536,6.27167
117.174,7.29249,116.743,6.83989
120.164,15.2315,120.365,15.9377
121.857,17.9571,121.891,17.4201
121.857,17.9571,121.16,18.2139
121.857,17.9571,121.909,18.9398
123.403,13.7574,123.464,12.265
123.403,13.7574,121.547,16.3785
120.92,17.08,121.035,16.7099
123.464,12.265,123.63579,12.21453
123.464,12.265,122.297,10.8131
120.695,16.4263,120.956,16.5655
120.695,16.4263,120.365,15.9377
121.891,17.4201,121.718,16.7015
121.547,16.3785,121.12,16.3299
121.12,16.3299,121.113,16.6646
120.956,16.5655,121.035,16.7099
121.035,16.7099,121.113,16.6646
122.297,10.8131,123.588,8.5232
124.509,6.9453,125.175,6.9712
124.509,6.9453,124.538,6.20377
124.509,6.9453,123.588,8.5232
123.588,8.5232,122.341,7.79964
120.536,6.27167,118.88,5.12236
116.743,6.83989,116.124,6.00631
117.024,4.64808,116.373,5.68284
117.024,4.64808,118.88,5.12236
119.483887,4.755836,118.88,5.12236
116.373,5.68284,116.124,6.00631
116.373,5.68284,115.826,5.1796
115.553,5.49808,115.826,5.1796
122.341,7.79964,122.021729,6.531023
