phoneme,n_languages,freq,IDF
N,8,0.0036883356385431073,5.602579969147039
R,10,0.004610419548178884,5.379436417832829
Rʲ,1,4.610419548178884e-4,7.682021510826875
R̪,1,4.610419548178884e-4,7.682021510826875
R̪|R,35,0.016136468418626097,4.126673449337461
R̪̥|R̥,1,4.610419548178884e-4,7.682021510826875
R̪̰|R̰,3,0.0013831258644536654,6.583409222158765
a,1932,0.8907330567081605,0.11571049605441111
ae,7,0.003227293683725219,5.736111361771561
ae̞,4,0.0018441678192715537,6.295727149706984
ae̞ˤ,1,4.610419548178884e-4,7.682021510826875
ae̯,2,9.220839096357768e-4,6.988874330266929
ai,72,0.03319502074688797,3.405355391810819
ai̯,9,0.004149377593360996,5.484796933490655
ai̯ː,1,4.610419548178884e-4,7.682021510826875
ao,6,0.0027662517289073307,5.890262041598819
ao̞,4,0.0018441678192715537,6.295727149706984
ao̞ˤ,1,4.610419548178884e-4,7.682021510826875
au,58,0.026740433379437527,3.6215785002804552
auː,1,4.610419548178884e-4,7.682021510826875
au̯,7,0.003227293683725219,5.736111361771561
ay,2,9.220839096357768e-4,6.988874330266929
aɔ,1,4.610419548178884e-4,7.682021510826875
aɛ,3,0.0013831258644536654,6.583409222158765
aɨ,1,4.610419548178884e-4,7.682021510826875
aɪ,7,0.003227293683725219,5.736111361771561
aɪ̃,1,4.610419548178884e-4,7.682021510826875
aɯ,4,0.0018441678192715537,6.295727149706984
aɯ̃,1,4.610419548178884e-4,7.682021510826875
aɵ̯,1,4.610419548178884e-4,7.682021510826875
aʊ,4,0.0018441678192715537,6.295727149706984
aʊɪ,1,4.610419548178884e-4,7.682021510826875
aʲ,1,4.610419548178884e-4,7.682021510826875
aʲː,1,4.610419548178884e-4,7.682021510826875
aˀ,1,4.610419548178884e-4,7.682021510826875
aː,644,0.29691101890272015,1.2143227847225206
aːi̯,1,4.610419548178884e-4,7.682021510826875
aːu,1,4.610419548178884e-4,7.682021510826875
aːu̯,1,4.610419548178884e-4,7.682021510826875
aːɪ,1,4.610419548178884e-4,7.682021510826875
aˑ,7,0.003227293683725219,5.736111361771561
a˞,4,0.0018441678192715537,6.295727149706984
a˞ː,1,4.610419548178884e-4,7.682021510826875
a˞ˤ,1,4.610419548178884e-4,7.682021510826875
aˠ,1,4.610419548178884e-4,7.682021510826875
aˤ,6,0.0027662517289073307,5.890262041598819
aˤː,4,0.0018441678192715537,6.295727149706984
ã,375,0.17289073305670816,1.7550954848564635
ãẽ̞ˤ,1,4.610419548178884e-4,7.682021510826875
ãi,1,4.610419548178884e-4,7.682021510826875
ãĩ,2,9.220839096357768e-4,6.988874330266929
ãõ̞ˤ,1,4.610419548178884e-4,7.682021510826875
ãũ,2,9.220839096357768e-4,6.988874330266929
ãɛ̃,1,4.610419548178884e-4,7.682021510826875
ãɪ̯ː,1,4.610419548178884e-4,7.682021510826875
ãː,53,0.024435223605348087,3.711729597274753
ãˤ,2,9.220839096357768e-4,6.988874330266929
ãˤː,1,4.610419548178884e-4,7.682021510826875
ã̈,7,0.003227293683725219,5.736111361771561
ã̈ː,1,4.610419548178884e-4,7.682021510826875
ă,2,9.220839096357768e-4,6.988874330266929
ä,43,0.0198248040571692,3.920821395133312
äi̯,2,9.220839096357768e-4,6.988874330266929
äu̯,3,0.0013831258644536654,6.583409222158765
äː,23,0.010603964960811434,4.546527294897724
å,1,4.610419548178884e-4,7.682021510826875
a̟,30,0.013831258644536652,4.280824129164719
a̟i,1,4.610419548178884e-4,7.682021510826875
a̟ː,6,0.0027662517289073307,5.890262041598819
ã̟,7,0.003227293683725219,5.736111361771561
ã̟ĩ,1,4.610419548178884e-4,7.682021510826875
ã̟ː,1,4.610419548178884e-4,7.682021510826875
a̠,1,4.610419548178884e-4,7.682021510826875
a̠ː,1,4.610419548178884e-4,7.682021510826875
ä̠,2,9.220839096357768e-4,6.988874330266929
a̤,19,0.00875979714153988,4.737582531660434
a̤i̤,1,4.610419548178884e-4,7.682021510826875
a̤ṳ,1,4.610419548178884e-4,7.682021510826875
a̤ɯ̤,1,4.610419548178884e-4,7.682021510826875
a̤ː,7,0.003227293683725219,5.736111361771561
a̤ˑ,3,0.0013831258644536654,6.583409222158765
ḁ,1,4.610419548178884e-4,7.682021510826875
a̰,19,0.00875979714153988,4.737582531660434
a̰ɪ̰,1,4.610419548178884e-4,7.682021510826875
a̰ɯ̰,1,4.610419548178884e-4,7.682021510826875
a̰ː,1,4.610419548178884e-4,7.682021510826875
a̰ˑ,1,4.610419548178884e-4,7.682021510826875
ã̰,7,0.003227293683725219,5.736111361771561
aᴱ,1,4.610419548178884e-4,7.682021510826875
b,1354,0.6242508068234209,0.47120305735465406
br,1,4.610419548178884e-4,7.682021510826875
bv,19,0.00875979714153988,4.737582531660434
bvʷ,1,4.610419548178884e-4,7.682021510826875
bz,3,0.0013831258644536654,6.583409222158765
bzʷ,1,4.610419548178884e-4,7.682021510826875
bɡ,1,4.610419548178884e-4,7.682021510826875
bɦ,1,4.610419548178884e-4,7.682021510826875
bɾ,1,4.610419548178884e-4,7.682021510826875
bʱ,12,0.005532503457814661,5.197114861038874
bʲ,39,0.017980636237897647,4.018459864697228
bʲː,1,4.610419548178884e-4,7.682021510826875
bʷ,42,0.019363762102351315,3.944351892543506
bʷː,1,4.610419548178884e-4,7.682021510826875
bʷˠ,1,4.610419548178884e-4,7.682021510826875
bʼ,1,4.610419548178884e-4,7.682021510826875
bˀ,1,4.610419548178884e-4,7.682021510826875
bː,35,0.016136468418626097,4.126673449337461
b˞,1,4.610419548178884e-4,7.682021510826875
bˠ,1,4.610419548178884e-4,7.682021510826875
bˤ,1,4.610419548178884e-4,7.682021510826875
bˤː,1,4.610419548178884e-4,7.682021510826875
b̤,45,0.02074688796680498,3.8753590210565547
b̤v̤,1,4.610419548178884e-4,7.682021510826875
b̤z̤,1,4.610419548178884e-4,7.682021510826875
b̤ʲ,1,4.610419548178884e-4,7.682021510826875
b̥,6,0.0027662517289073307,5.890262041598819
b̥ʰ,1,4.610419548178884e-4,7.682021510826875
b̥ː,1,4.610419548178884e-4,7.682021510826875
b̪,1,4.610419548178884e-4,7.682021510826875
b̰,19,0.00875979714153988,4.737582531660434
b͉,1,4.610419548178884e-4,7.682021510826875
bβ,2,9.220839096357768e-4,6.988874330266929
bⁿ,1,4.610419548178884e-4,7.682021510826875
c,296,0.13646841862609496,1.991662056502814
cn̠,1,4.610419548178884e-4,7.682021510826875
cç,85,0.039188566159520516,3.239370254336558
cçʰ,32,0.01475334255417243,4.216285608027148
cçʷ,3,0.0013831258644536654,6.583409222158765
cçʼ,5,0.002305209774089442,6.072583598392774
cçː,2,9.220839096357768e-4,6.988874330266929
cʰ,59,0.027201475334255418,3.604484066921155
cʰː,1,4.610419548178884e-4,7.682021510826875
cʲ,2,9.220839096357768e-4,6.988874330266929
cʷ,6,0.0027662517289073307,5.890262041598819
cʷʰ,2,9.220839096357768e-4,6.988874330266929
cʼ,18,0.008298755186721992,4.791649752930709
cʼː,4,0.0018441678192715537,6.295727149706984
cˀ,1,4.610419548178884e-4,7.682021510826875
cː,7,0.003227293683725219,5.736111361771561
c̟,3,0.0013831258644536654,6.583409222158765
c̠,1,4.610419548178884e-4,7.682021510826875
c̤,1,4.610419548178884e-4,7.682021510826875
c̰,2,9.220839096357768e-4,6.988874330266929
d,973,0.44859382203780546,0.8016374286408693
dlʷ,1,4.610419548178884e-4,7.682021510826875
dr,6,0.0027662517289073307,5.890262041598819
dx,2,9.220839096357768e-4,6.988874330266929
dz,218,0.10050714615029968,2.297526448037785
dzʱ,3,0.0013831258644536654,6.583409222158765
dzʲ,4,0.0018441678192715537,6.295727149706984
dzʷ,5,0.002305209774089442,6.072583598392774
